csv_line,target,reported,candidate_formula,matches_candidate_formula
529,dissolved_oxygen,9.2,9.2,True
530,dissolved_oxygen,9.4,9.399999999999999,True
531,dissolved_oxygen,9.5,9.5,True
533,dissolved_oxygen,9.7,9.7,True
534,dissolved_oxygen,9.3,9.3,True
535,dissolved_oxygen,9.5,9.5,True
536,dissolved_oxygen,9.3,9.3,True
537,dissolved_oxygen,9.3,9.3,True
538,dissolved_oxygen,9.3,9.3,True
539,dissolved_oxygen,9.2,9.2,True
540,dissolved_oxygen,10.0,10.0,True
541,dissolved_oxygen,9.6,9.600000000000001,True
542,dissolved_oxygen,9.7,9.7,True
544,dissolved_oxygen,9.5,9.5,True
545,dissolved_oxygen,9.8,9.8,True
546,dissolved_oxygen,10.0,10.0,True
547,dissolved_oxygen,10.3,10.3,True
559,dissolved_oxygen,9.3,9.3,True
560,dissolved_oxygen,9.5,9.5,True
561,dissolved_oxygen,3.0,2.95,True
562,dissolved_oxygen,2.7,2.7,True
563,dissolved_oxygen,5.1,5.1,True
564,dissolved_oxygen,6.0,6.0,True
565,dissolved_oxygen,7.9,7.9,True
566,dissolved_oxygen,6.9,6.85,True
567,dissolved_oxygen,5.7,5.699999999999999,True
568,dissolved_oxygen,5.2,5.15,True
569,dissolved_oxygen,4.0,4.0,True
